architecture,run,disentanglement,completeness,spearman,recon_mse
MKAN,0,0.20249939564934688,0.13287641472359007,0.029498949894989496,0.5663385534286499
MKAN,1,0.04970382960576654,0.04850694878272932,0.0761956195619562,1.1961417293548584
MKAN,2,0.07722458189310233,0.15066630837149858,0.07037503750375036,0.43393444299697875
MKAN,3,0.03659019958643421,0.029239623248069502,0.17635763576357633,0.4893792986869812
MKAN,4,0.054501574598278736,0.14424967681248935,0.02238223822382238,0.5814643669128418
MKAN,5,0.054880550438257875,0.05845019214754038,0.369048904890489,0.36141600847244265
MKAN,6,0.08156473287544769,0.12030178673922998,0.23769576957695768,1.7166980171203614
MKAN,7,0.03810960096700898,0.059196602313050906,0.22468646864686465,1.3739259910583497
MKAN,8,0.02989900497270163,0.05329253583783489,0.03131113111311131,0.6030827045440674
MKAN,9,0.1188554297156326,0.15462160784147033,0.18406240624062406,0.9799394989013672
PolarMKAN,0,0.5655690381956042,0.4359379328693773,0.5628082808280828,0.09239127218723298
PolarMKAN,1,0.7024442790046761,0.6064164802785081,0.3954995499549955,0.08725590825080871
PolarMKAN,2,0.6735882526243637,0.4927553526335354,0.5053705370537053,0.0842612898349762
PolarMKAN,3,0.5435787523651292,0.4273269379483725,0.6817401740174015,0.0799606704711914
PolarMKAN,4,0.6896210483626515,0.5695475075082272,0.5611521152115212,0.08248122096061707
PolarMKAN,5,0.6270594119379472,0.46535871411469176,0.2953615361536153,0.08047466516494751
PolarMKAN,6,0.5065749120052,0.45109063252867,0.3409180918091808,0.12048309743404388
PolarMKAN,7,0.44387258987277156,0.39096142258034183,0.5478067806780678,0.11967643618583679
PolarMKAN,8,0.5610875988409616,0.4395334219206536,0.3949234923492349,0.08187995493412017
PolarMKAN,9,0.4086930557052985,0.4231249756399212,0.5347614761476147,0.08597373485565185
KAN,0,0.06030157523691726,0.081974676958596,0.19909990999099905,0.21875743448734283
KAN,1,0.07301804201723257,0.05522422582142972,0.13446144614461444,0.24681735455989837
KAN,2,0.18393918324313796,0.16096120544488662,0.08496849684968495,0.23203418850898744
KAN,3,0.22385375447202838,0.16133900182479122,0.15956795679567956,0.22469998836517335
KAN,4,0.00033608721825966,0.0003960962166953408,0.07396339633963396,0.3200739884376526
KAN,5,0.09786544661727684,0.1688403176251897,0.27215121512151214,0.1875958561897278
KAN,6,0.0890477557315564,0.08008785188870182,0.1516231623162316,0.19771575748920442
KAN,7,0.0034264437047691297,0.02291958425067031,0.03379537953795379,0.22527660965919494
KAN,8,0.21067474530575633,0.19589556902680239,0.0712151215121512,0.3306511235237122
KAN,9,0.05652241531154635,0.04995366116372296,0.08337233723372336,0.1975875687599182
CNN AE,0,0.17169232567215464,0.14128471047211005,0.31948394839483946,0.07613176107406616
CNN AE,1,0.0050417695110772645,0.007353532721763811,0.104998499849985,0.07509764909744263
CNN AE,2,0.039533477798031125,0.0539133527551075,0.21158115811581155,0.07683106005191803
CNN AE,3,0.1140544645961127,0.14094615557274143,0.14520252025202518,0.07640719383955002
CNN AE,4,0.020590489402788754,0.01807248227896241,0.005004500450045004,0.07772098124027252
CNN AE,5,0.004295460425638673,0.03242919020203422,0.1985238523852385,0.07702786296606064
CNN AE,6,0.19512057183527368,0.16177479140007717,0.058601860186018595,0.07508177280426026
CNN AE,7,0.019281017864483725,0.026819610196228028,0.12231623162316231,0.07605624854564667
CNN AE,8,0.01969377050268465,0.04475803158274644,0.20406840684068403,0.07432470917701721
CNN AE,9,0.023674745098120873,0.04448683572511308,0.029786978697869785,0.07581604331731796
Polar KAN,0,0.1551611179870577,0.11960997206054919,0.6843564356435643,0.07531123638153076
Polar KAN,1,0.20984834075576944,0.18572936348216967,0.24048004800480047,0.08800545692443848
Polar KAN,2,0.28295671092374586,0.27734386145467804,0.4549654965496549,0.09123004525899887
Polar KAN,3,0.08565695592125575,0.06982426961432259,0.6883888388838884,0.07535570532083512
Polar KAN,4,0.1645539579494166,0.21902949098869673,0.3578517851785178,0.09373986303806305
Polar KAN,5,0.13656442500890448,0.16591904368283789,0.6719111911191118,0.07531230807304383
Polar KAN,6,0.14631391136647134,0.1499242149629419,0.6624662466246624,0.07533646225929261
Polar KAN,7,0.03544690301497751,0.052603454691885765,0.6936333633363335,0.07535450398921967
Polar KAN,8,0.02786287070636179,0.018352424455335192,0.7131713171317131,0.0752828562259674
Polar KAN,9,0.050274409685976816,0.04901604402766274,0.7336813681368136,0.07532215982675552
Polar CNN,0,0.05559222778143402,0.057953998743957846,0.008232823282328232,0.02631107106804848
Polar CNN,1,0.034421026154375964,0.03507442064044991,0.07864386438643862,0.03061648815870285
Polar CNN,2,0.01825798079577415,0.03336828118587348,0.12649264926492648,0.0350531879067421
Polar CNN,3,0.13289608738280795,0.10034545268141432,0.030039003900390035,0.03149849697947502
Polar CNN,4,0.01923504698671264,0.022120464732709844,0.11329132913291329,0.03289907604455948
Polar CNN,5,0.017929096036433043,0.016969013139894906,0.001956195619561956,0.03249834358692169
Polar CNN,6,0.036943379537795196,0.06384189254153944,0.06453045304530453,0.03231376245617867
Polar CNN,7,0.05503524182411879,0.03724929161487828,0.056309630963096304,0.031749860793352125
Polar CNN,8,0.11431431467704559,0.10772750253835922,0.11133513351335132,0.03313092350959778
Polar CNN,9,0.016076289931515747,0.057094121435574297,0.053633363336333624,0.023054292649030684
